rownr,labels,site_unique,other1,other2,haplotype
1,17,S11B01,F,F,J01
2,18,L10A,F,F,J01
3,18,SP0654,F,F,J01
4,20,L10C,F,F,J01
5,28,SP0654,F,F,J01
6,29,SP0654,F,F,J01
7,34,SP0654,F,F,J01
8,40,SP0654,F,F,J01
9,41,SP0654,F,F,J01
10,42,SP0654,F,F,J01
11,43,SP0654,F,F,J01
12,47,SP0654,F,F,J01
13,68,ST0729,F,F,J01
14,12,ST0729,F,F,J02
15,20,S11B01,F,F,J03
16,26,SP0654,F,F,J02
17,35,SP0654,F,F,J02
18,44,ST0725,F,F,J02
19,38,ST0729,F,F,J04
20,2,ST0725,F,F,J05
21,21,SW0935,F,F,J05
22,23,SW0935,F,F,J05
23,1,SW0933,F,F,J06
24,4,SW0933,F,F,J06
25,1,SW0936,F,F,J07
26,5,SP0654,F,F,J07
27,6,L10A,F,F,J07
28,6,SW0937,F,F,J07
29,8,SP0654,F,F,J07
30,11,SP0654,F,F,J07
31,12,SW0943,F,F,J07
32,17,SW0939,F,F,J07
33,27,SW0934,F,F,J07
34,32,SW0937,F,F,J07
35,32,SW0939,F,F,J07
36,33,SP0654,F,F,J07
37,36,L10A,F,F,J07
38,40,ST0729,F,F,J07
39,41,SW0935,F,F,J07
40,41,SW0943,F,F,J07
41,43,L10A,F,F,J07
42,30,Godewind,F,F,J08
43,10,SW0942,F,F,J09
44,15,SW0940,F,F,J09
45,26,SW0940,F,F,J09
46,4,SW0932,F,F,J10
47,3,SW0936,F,F,J11
48,4,SW0936,F,F,J11
49,5,ST0725,F,F,J11
50,5,SW0936,F,F,J11
51,5,SW0937,F,F,J11
52,6,SW0936,F,F,J11
53,7,ST0729,F,F,J11
54,7,SW0936,F,F,J11
55,8,SW0936,F,F,J11
56,21,ST0725,F,F,J11
57,34,ST0725,F,F,J11
58,39,SW0935,F,F,J11
59,42,L10A,F,F,J11
60,65,ST0729,F,F,J11
61,27,SW0937,F,F,J12
62,2,SW0942,F,F,J13
63,4,SW0941,F,F,J13
64,11,SW0942,F,F,J13
65,12,SW0940,F,F,J13
66,13,SW0940,F,F,J13
67,18,SW0940,F,F,J13
68,19,SW0940,F,F,J13
69,20,SW0940,F,F,J13
70,21,SW0942,F,F,J13
71,23,SW0940,F,F,J13
72,31,SW0940,F,F,J13
73,32,SW0940,F,F,J13
74,40,SW0940,F,F,J13
75,3,SW0933,F,F,J14
76,10,SW0933,F,F,J14
77,11,SW0932,F,F,J14
78,11,SW0933,F,F,J14
79,12,SW0932,F,F,J14
80,12,SW0933,F,F,J14
81,16,SW0933,F,F,J14
82,24,SW0943,F,F,J14
83,28,SW0932,F,F,J14
84,32,SW0933,F,F,J14
85,36,SW0932,F,F,J14
86,38,SW0933,F,F,J14
87,39,SW0932,F,F,J14
88,40,SW0932,F,F,J14
89,45,SW0932,F,F,J14
90,46,SW0932,F,F,J14
91,47,SW0932,F,F,J14
92,13,SW0939,F,F,J15
93,23,SW0937,F,F,J16
94,1,ST0729,F,F,J17
95,1,SW0934,F,F,J17
96,1,SW0939,F,F,J17
97,2,SW0940,F,F,J17
98,2,SP0654,F,F,J17
99,3,L10A,F,F,J17
100,3,SW0934,F,F,J17
101,3,L10C,F,F,J17
102,4,SP0654,F,F,J17
103,5,ST0729,F,F,J17
104,6,ST0725,F,F,J17
105,6,SW0934,F,F,J17
106,6,SW0940,F,F,J17
107,7,SW0942,F,F,J17
108,7,SP0654,F,F,J17
109,8,SW0934,F,F,J17
110,8,SW0942,F,F,J17
111,9,SW0936,F,F,J17
112,9,SP0654,F,F,J17
113,10,SW0932,F,F,J17
114,10,SW0936,F,F,J17
115,10,SW0939,F,F,J17
116,10,SP0654,F,F,J17
117,10,SW0566,F,F,J17
118,10,SW0569,F,F,J17
119,11,SW0936,F,F,J17
120,11,SW0941,F,F,J17
121,11,SW0569,F,F,J17
122,12,L10A,F,F,J17
123,12,SW0936,F,F,J17
124,12,SW0937,F,F,J17
125,12,SW0566,F,F,J17
126,13,SW0934,F,F,J17
127,13,SW0936,F,F,J17
128,13,SP0225,F,F,J17
129,14,ST0729,F,F,J17
130,14,SP0654,F,F,J17
131,14,SW0566,F,F,J17
132,15,SW0934,F,F,J17
133,15,SP0654,F,F,J17
134,16,ST0729,F,F,J17
135,16,SP0654,F,F,J17
136,17,SW0934,F,F,J17
137,17,SW0937,F,F,J17
138,17,SW0943,F,F,J17
139,17,SW0566,F,F,J17
140,17,SW0569,F,F,J17
141,18,SW0935,F,F,J17
142,19,SW0566,F,F,J17
143,20,ST0729,F,F,J17
144,20,SW0932,F,F,J17
145,20,SW0569,F,F,J17
146,21,ST0729,F,F,J17
147,21,SW0937,F,F,J17
148,21,SP0654,F,F,J17
149,22,ST0729,F,F,J17
150,22,SW0932,F,F,J17
151,22,SW0939,F,F,J17
152,22,SP0654,F,F,J17
153,23,ST0729,F,F,J17
154,23,SW0932,F,F,J17
155,23,SW0939,F,F,J17
156,23,SW0942,F,F,J17
157,24,SP0654,F,F,J17
158,25,SW0932,F,F,J17
159,26,SW0939,F,F,J17
160,26,SW0942,F,F,J17
161,26,SW0943,F,F,J17
162,26,SW0566,F,F,J17
163,26,SW0569,F,F,J17
164,27,ST0725,F,F,J17
165,27,SW0942,F,F,J17
166,27,SP0225,F,F,J17
167,27,SP0654,F,F,J17
168,28,L10A,F,F,J17
169,28,SW0935,F,F,J17
170,28,SW0939,F,F,J17
171,28,SP0225,F,F,J17
172,29,SW0934,F,F,J17
173,29,SW0941,F,F,J17
174,30,ST0729,F,F,J17
175,30,SW0932,F,F,J17
176,30,SW0934,F,F,J17
177,30,SP0654,F,F,J17
178,30,SW0569,F,F,J17
179,31,SP0654,F,F,J17
180,32,ST0729,F,F,J17
181,32,SW0934,F,F,J17
182,32,SW0566,F,F,J17
183,32,SW0569,F,F,J17
184,34,SW0940,F,F,J17
185,35,L10A,F,F,J17
186,35,ST0729,F,F,J17
187,35,SW0932,F,F,J17
188,35,SW0934,F,F,J17
189,35,SW0940,F,F,J17
190,36,ST0725,F,F,J17
191,36,ST0729,F,F,J17
192,36,SW0934,F,F,J17
193,36,SP0654,F,F,J17
194,36,SW0566,F,F,J17
195,36,SW0569,F,F,J17
196,37,ST0729,F,F,J17
197,37,SP0654,F,F,J17
198,38,SW0569,F,F,J17
199,39,SW0940,F,F,J17
200,39,SP0654,F,F,J17
201,39,SW0566,F,F,J17
202,40,SW0942,F,F,J17
203,41,SW0569,F,F,J17
204,42,ST0729,F,F,J17
205,42,SW0940,F,F,J17
206,43,SW0932,F,F,J17
207,43,SW0934,F,F,J17
208,43,SW0942,F,F,J17
209,43,L10C,F,F,J17
210,43,SW0569,F,F,J17
211,44,L10A,F,F,J17
212,44,SW0937,F,F,J17
213,44,SW0569,F,F,J17
214,45,ST0729,F,F,J17
215,45,SW0940,F,F,J17
216,46,ST0729,F,F,J17
217,46,SW0569,F,F,J17
218,47,ST0729,F,F,J17
219,47,SW0569,F,F,J17
220,48,L10A,F,F,J17
221,48,SW0937,F,F,J17
222,48,SW0569,F,F,J17
223,52,ST0729,F,F,J17
224,59,ST0727,F,F,J17
225,66,ST0729,F,F,J17
226,2,SW0937,F,F,J18
227,19,SW0932,F,F,J19
228,3,SW0935,F,F,J20
229,5,SW0935,F,F,J20
230,7,SW0935,F,F,J20
231,25,SW0935,F,F,J20
232,25,SW0940,F,F,J20
233,26,SW0935,F,F,J20
234,26,SW0933,F,F,J21
235,36,SW0933,F,F,J21
236,1,SW0935,F,F,J22
237,3,ST0725,F,F,J22
238,6,SW0935,F,F,J22
239,7,ST0725,F,F,J22
240,9,ST0725,F,F,J22
241,9,SW0941,F,F,J22
242,11,ST0725,F,F,J22
243,11,SW0937,F,F,J22
244,12,ST0725,F,F,J22
245,12,SW0934,F,F,J22
246,12,SW0935,F,F,J22
247,14,SW0935,F,F,J22
248,14,SW0936,F,F,J22
249,14,SW0943,F,F,J22
250,15,SW0935,F,F,J22
251,15,SW0936,F,F,J22
252,16,SW0935,F,F,J22
253,16,SW0936,F,F,J22
254,17,SW0935,F,F,J22
255,17,SW0936,F,F,J22
256,18,SW0936,F,F,J22
257,19,SW0936,F,F,J22
258,19,SW0939,F,F,J22
259,20,SW0934,F,F,J22
260,20,SW0936,F,F,J22
261,22,SW0936,F,F,J22
262,24,ST0725,F,F,J22
263,25,ST0725,F,F,J22
264,25,SW0937,F,F,J22
265,26,ST0725,F,F,J22
266,29,SW0943,F,F,J22
267,31,SW0935,F,F,J22
268,31,SW0937,F,F,J22
269,31,SW0939,F,F,J22
270,32,SW0943,F,F,J22
271,35,ST0725,F,F,J22
272,35,SW0935,F,F,J22
273,36,SW0935,F,F,J22
274,39,SW0939,F,F,J22
275,40,SW0935,F,F,J22
276,40,SW0943,F,F,J22
277,45,SP0654,F,F,J22
278,46,SW0939,F,F,J22
279,47,ST0725,F,F,J22
280,47,SW0935,F,F,J22
281,69,ST0729,F,F,J22
282,45,SW0939,F,F,J23
283,7,SW0939,F,F,J24
284,8,SW0939,F,F,J24
285,9,SW0939,F,F,J24
286,15,ST0725,F,F,J24
287,16,ST0725,F,F,J24
288,17,ST0729,F,F,J24
289,19,ST0725,F,F,J24
290,20,SW0939,F,F,J24
291,21,SW0939,F,F,J24
292,27,SW0939,F,F,J24
293,29,L10A,F,F,J24
294,30,L10A,F,F,J24
295,33,ST0725,F,F,J24
296,35,SW0939,F,F,J24
297,37,ST0725,F,F,J24
298,37,SW0939,F,F,J24
299,42,SW0566,F,F,J24
300,43,ST0725,F,F,J24
301,44,SW0939,F,F,J24
302,45,L10A,F,F,J24
303,45,ST0725,F,F,J24
304,47,L10C,F,F,J24
305,14,SW0939,F,F,J25
306,43,SW0939,F,F,J26
307,18,ST0725,F,F,J27
308,22,SW0935,F,F,J27
309,30,ST0725,F,F,J27
310,38,ST0725,F,F,J27
311,44,ST0729,F,F,J27
312,47,SW0940,F,F,J28
313,34,SW0937,F,F,J29
314,46,SW0937,F,F,J29
315,8,ST0729,F,F,J30
316,17,ST0725,F,F,J31
317,10,ST0725,F,F,J32
318,23,L10A,F,F,J32
319,25,SW0934,F,F,J32
320,30,SW0935,F,F,J32
321,33,S11B01,F,F,J32
322,3,SP0654,F,F,J33
323,6,SW0933,F,F,J33
324,7,SW0933,F,F,J33
325,10,SW0943,F,F,J33
326,14,SW0933,F,F,J33
327,15,SW0941,F,F,J33
328,17,SW0933,F,F,J33
329,22,SW0933,F,F,J33
330,23,ST0725,F,F,J33
331,23,SW0943,F,F,J33
332,24,SW0933,F,F,J33
333,25,SW0933,F,F,J33
334,27,SW0932,F,F,J33
335,27,SW0933,F,F,J33
336,28,ST0725,F,F,J33
337,33,SW0933,F,F,J33
338,39,ST0729,F,F,J33
339,42,SW0933,F,F,J33
340,42,SW0943,F,F,J33
341,43,SW0933,F,F,J33
342,46,SW0943,F,F,J33
343,1,SW0932,F,F,J34
344,3,S11B01,F,F,J34
345,4,ST0729,F,F,J34
346,9,SW0932,F,F,J34
347,9,SW0943,F,F,J34
348,11,ST0729,F,F,J34
349,15,ST0729,F,F,J34
350,15,SW0932,F,F,J34
351,15,SP0225,F,F,J34
352,15,SW0566,F,F,J34
353,16,SW0932,F,F,J34
354,18,ST0729,F,F,J34
355,20,SP0654,F,F,J34
356,21,SW0932,F,F,J34
357,21,SW0569,F,F,J34
358,23,SW0941,F,F,J34
359,23,L10C,F,F,J34
360,23,SW0566,F,F,J34
361,24,SW0932,F,F,J34
362,25,ST0729,F,F,J34
363,25,SW0942,F,F,J34
364,25,SW0569,F,F,J34
365,26,ST0729,F,F,J34
366,26,SW0932,F,F,J34
367,27,SW0941,F,F,J34
368,29,ST0725,F,F,J34
369,29,SW0932,F,F,J34
370,29,SW0566,F,F,J34
371,31,SW0932,F,F,J34
372,33,ST0729,F,F,J34
373,33,SW0932,F,F,J34
374,34,SW0566,F,F,J34
375,35,SW0942,F,F,J34
376,36,SW0940,F,F,J34
377,37,SW0932,F,F,J34
378,37,SW0940,F,F,J34
379,38,SW0932,F,F,J34
380,38,SP0654,F,F,J34
381,40,SW0566,F,F,J34
382,41,ST0729,F,F,J34
383,42,SW0932,F,F,J34
384,44,SW0932,F,F,J34
385,44,SW0940,F,F,J34
386,46,SP0654,F,F,J34
387,48,SW0932,F,F,J34
388,48,SW0940,F,F,J34
389,72,ST0729,F,F,J34
390,48,ST0729,F,F,J35
391,2,SW0934,F,F,J36
392,2,SW0939,F,F,J36
393,3,SW0937,F,F,J36
394,4,SW0934,F,F,J36
395,5,SW0939,F,F,J36
396,6,SW0939,F,F,J36
397,7,SW0937,F,F,J36
398,10,SW0934,F,F,J36
399,10,SW0937,F,F,J36
400,11,SW0934,F,F,J36
401,12,SW0939,F,F,J36
402,13,SW0937,F,F,J36
403,14,SW0934,F,F,J36
404,14,SW0937,F,F,J36
405,15,SW0937,F,F,J36
406,16,SW0939,F,F,J36
407,17,SW0940,F,F,J36
408,18,SW0934,F,F,J36
409,18,SW0937,F,F,J36
410,19,SW0934,F,F,J36
411,19,SW0937,F,F,J36
412,20,SW0937,F,F,J36
413,21,SW0934,F,F,J36
414,21,SW0940,F,F,J36
415,23,SW0934,F,F,J36
416,23,SW0936,F,F,J36
417,25,SW0936,F,F,J36
418,26,SW0934,F,F,J36
419,26,SW0936,F,F,J36
420,27,SW0936,F,F,J36
421,28,SW0934,F,F,J36
422,28,SW0936,F,F,J36
423,28,SW0937,F,F,J36
424,29,SW0936,F,F,J36
425,29,SW0937,F,F,J36
426,30,SW0936,F,F,J36
427,30,SW0939,F,F,J36
428,31,SW0934,F,F,J36
429,31,SW0936,F,F,J36
430,32,SW0936,F,F,J36
431,33,SW0934,F,F,J36
432,33,SW0936,F,F,J36
433,33,SW0937,F,F,J36
434,33,SW0939,F,F,J36
435,34,SW0934,F,F,J36
436,34,SW0936,F,F,J36
437,35,SW0936,F,F,J36
438,36,SW0939,F,F,J36
439,37,SW0935,F,F,J36
440,37,SW0937,F,F,J36
441,39,SW0934,F,F,J36
442,39,SW0937,F,F,J36
443,40,SW0937,F,F,J36
444,40,SW0939,F,F,J36
445,41,SW0934,F,F,J36
446,41,SW0937,F,F,J36
447,41,SW0939,F,F,J36
448,42,SW0937,F,F,J36
449,43,SW0937,F,F,J36
450,43,SW0941,F,F,J36
451,44,SW0934,F,F,J36
452,44,SW0936,F,F,J36
453,45,SW0934,F,F,J36
454,45,SW0936,F,F,J36
455,45,SW0937,F,F,J36
456,46,SW0934,F,F,J36
457,46,SW0936,F,F,J36
458,46,SW0940,F,F,J36
459,46,SW0941,F,F,J36
460,47,SW0937,F,F,J36
461,47,SW0939,F,F,J36
462,48,SW0943,F,F,J36
463,1,SW0940,F,F,J37
464,1,SW0942,F,F,J37
465,2,SW0935,F,F,J37
466,3,SW0940,F,F,J37
467,4,SW0940,F,F,J37
468,4,SW0942,F,F,J37
469,5,SW0934,F,F,J37
470,5,SW0940,F,F,J37
471,7,SW0934,F,F,J37
472,7,SW0940,F,F,J37
473,8,SW0940,F,F,J37
474,9,SW0935,F,F,J37
475,9,SW0940,F,F,J37
476,9,SW0942,F,F,J37
477,10,SW0940,F,F,J37
478,10,SW0941,F,F,J37
479,11,SW0940,F,F,J37
480,13,SW0935,F,F,J37
481,14,SW0940,F,F,J37
482,14,SW0942,F,F,J37
483,15,SW0942,F,F,J37
484,16,SW0940,F,F,J37
485,16,SW0942,F,F,J37
486,17,SW0941,F,F,J37
487,19,SW0935,F,F,J37
488,20,SW0935,F,F,J37
489,22,SW0940,F,F,J37
490,24,SW0940,F,F,J37
491,27,SW0935,F,F,J37
492,27,SW0940,F,F,J37
493,28,SW0942,F,F,J37
494,29,SW0935,F,F,J37
495,29,SW0940,F,F,J37
496,29,SW0942,F,F,J37
497,30,SW0940,F,F,J37
498,30,SW0942,F,F,J37
499,31,SW0941,F,F,J37
500,33,SW0935,F,F,J37
501,34,SW0941,F,F,J37
502,37,SW0934,F,F,J37
503,37,SW0936,F,F,J37
504,38,SW0935,F,F,J37
505,38,SW0936,F,F,J37
506,39,SW0936,F,F,J37
507,39,SW0941,F,F,J37
508,40,SW0936,F,F,J37
509,41,SW0936,F,F,J37
510,41,SW0940,F,F,J37
511,42,SW0934,F,F,J37
512,42,SW0935,F,F,J37
513,43,SW0935,F,F,J37
514,43,SW0940,F,F,J37
515,44,SW0935,F,F,J37
516,45,SW0935,F,F,J37
517,46,SW0935,F,F,J37
518,48,SW0935,F,F,J37
519,48,SW0941,F,F,J37
520,10,SW0935,F,F,J38
521,34,SW0932,F,F,J39
522,32,SW0935,F,F,J40
523,15,SW0933,F,F,J41
524,28,SW0933,F,F,J41
525,22,SW0941,F,F,J42
526,42,SW0936,F,F,J42
527,20,SW0941,F,F,J43
528,43,ST0729,F,F,J43
529,23,SP0654,F,F,J44
